Ingredient,A.D. Fiber,Arginine,Avail. Phos.,Biotin,Calcium,Chlorine,Choline,Cobalt,Concentrate,Copper,Crude Fiber,Crude Protein,Cystine,D.I. Protein,Digest. Energy,Dry Matter Fed,Ether extract,Fish Protein,Folic Acid,Forage,Gly + Ser,Glycine,Hay Activity,Histidine,Iodine,Iron,Isoleucine,Leucine,Linoleic Acid,Lysine,Lysine D Poultry,Lysine D Swine,Magnesium,Manganese,Menadione,Met + Cys,Metab. Energy,Methionine,Methionine D Poultry,Methionine D Swine,N.E. Lactation,NE-g,NE-m,Niacin,Pantothenic Acd,Phe + Tyr,Phenylalanine,Phosphorous,Potassium,Protein,Pyridoxine,Riboflavin,Selenium,Serine,Silage Activity,Sodium,Sulfur,Thiamin,Threonine,Total Phos.,Tryptophan,Tyrosine,U.I. Protein,Valine,Vitamin A,Vitamin B-12,Vitamin D,Vitamin E,Zinc
ASSF,,147.0000,667.0000,,667.0000,,,,,,,1334.0000,60.0000,,,,,,,,,,,,,,160.0000,,,193.0000,,,,,,,,73.0000,,,,,,,,,,,,,,,,,,,,,93.0000,,27.0000,,,,,,,,
Choline Cl - 50%,,,,,,0.5650,435.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choline H,,,,,,,950.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Salt,,,,,0.3000,60.0000,,,,,,,,,,,,,,,,,,,,0.0500,,,,,,,0.0050,,,,,,,,,,,,,,,,,,,,,,,39.0000,0.2000,,,,,,,,,,,,
Corn Grain,,0.3700,0.0392,0.0600,0.0200,0.0400,0.6200,,,3.0000,2.2000,7.5000,0.1800,,,,3.8000,,0.4000,,0.7000,0.3300,,0.2300,,0.0290,0.2800,0.9900,1.9200,0.2600,,,0.1200,5.0000,,0.3600,3.3500,0.1700,,,,,,,4.0000,0.6800,0.3800,,0.3000,7.5000,7.0000,1.0000,0.0300,0.3700,,0.0200,0.0800,3.5000,0.2900,0.2800,0.0600,0.2500,,0.3900,,,,22.0000,10.0000
Corn Grain B,,0.3700,0.0392,0.0600,0.0200,0.0400,0.6200,,,3.0000,2.2000,7.5000,0.1800,,,,3.8000,,0.4000,,0.7000,0.3300,,0.2300,,0.0290,0.2800,0.9900,1.9200,0.2600,,,0.1200,5.0000,,0.3600,3.3500,0.1700,,,,,,,4.0000,0.6800,0.3800,,0.3000,7.5000,7.0000,1.0000,0.0300,0.3700,,0.0200,0.0800,3.5000,0.2900,0.2800,0.0600,0.2500,,0.3900,,,,22.0000,10.0000
CTCZyme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-Methionine 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0000,,84.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-Methionine 99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0000,,98.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enerfats,,,,,,,,,,,,,,,,,100.0000,,,,,,,,,,,,8.0000,,,,,,,,8.5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiber Concentrate,,,,,,,,,,,100.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fishmeal MAL 55%,,,,,6.7000,0.5000,3.8000,,,,2.6000,54.0000,,,,,,,,,,,,,,,,,,3.0600,,,,,,2.3900,2.8600,1.0500,,,,,,,,,,,,,,,,,,0.7800,,,,,0.5400,,,,,,,,
GW Fish Meal,,4.3100,3.8100,0.0800,7.3100,0.5000,3.0990,,,6.0000,0.7000,65.5000,0.6400,,,,4.6000,,0.3000,,7.1000,4.0100,,1.3400,,0.1810,3.0900,5.5500,0.0800,5.0500,,,0.1800,12.0000,,2.7900,2.8800,2.1500,,,,,,59.0000,9.9000,4.8200,2.7100,,0.8300,62.6000,5.9000,1.7000,1.6200,3.0000,,0.7800,0.4800,90.0000,3.0900,3.8100,0.7400,2.1100,,3.8300,,9.0000,,,90.0000
Indian Fishmeal,,3.4480,3.0480,0.0640,5.8480,0.4000,2.4800,,,4.8000,0.5600,55.0000,0.5120,,,,3.6800,,0.2400,,5.6800,3.2080,,1.1040,,1448.0000,2.4720,4.4400,0.0640,4.0400,,,0.1440,9.6000,,2.2320,2.3040,1.7200,,,,,,47.2000,7.9200,3.8560,2.1680,,0.6640,50.0800,4.7200,1.3600,1.2960,2.4000,,0.6240,384.0000,72.0000,2.4720,3.0480,0.5920,1.6880,,3.0640,,7.2000,,,72.0000
L-Lysine HCl,,,,,,19.4300,,,,,,,,,,,,,,,,,,,,,,,,78.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-Threonine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0000,,,,,,,,,,
L-Tryptophan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0000,,,,,,,,
Lecithin,,,,,,,141.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Limestone,,,,,38.0000,0.0300,,,,,,,,,,,,,,,,,,,,3.5000,,,,,,,2.1000,,,,,,,,,,,,,,,,0.1000,,,,,,,0.0500,,,,,,,,,,,,,
Lipidol,,,,,1.2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lysor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCP22,,,19.5000,,20.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0000,,,,,,,,,,,,,,,,,,,,,
MDCP21,,,18.5000,,20.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0000,,,,,,,,,,,,,,,,,,,,,
MegaFat,,,,,,,,,,,,,,,,,100.0000,,,,,,,,,,,,,,,,,,,,8.2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natuzyme,,,,,,,,,,,,113.0000,1.5000,,,,,,,,,,,,,,,,,6.0000,,,,,,1.5000,1.3500,0.5000,,,,,,,,,,,,,,,,,,,,,6.5000,,1.5000,,,,,,,,
Palm Oil,,,,,,,,,,,,,,,,,100.0000,,,,,,,,,,,,9.1000,,,,,,,,8.3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phytase 150,,,600.0000,,600.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600.0000,,,,,,,,,
Phytase 5000,,,1200.0000,,1200.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200.0000,,,,,,,,,
